date,symbol,open,high,low,close,volume
2023-02-15,BTC,545.43,546.63,537.43,539.5,23188309.78
2023-02-16,BTC,546.85,557.18,544.36,555.04,98665005.46
2023-02-17,BTC,544.8,549.66,541.41,545.32,26541777.9
2023-02-18,BTC,543.71,545.72,539.44,542.7,11984002.4
2023-02-19,BTC,545.57,553.6,540.8,549.94,17823115.87
2023-02-20,BTC,546.81,549.27,546.25,547.36,87471366.69
2023-02-21,BTC,548.55,554.33,547.52,551.66,48283467.72
2023-02-22,BTC,551.33,552.94,544.16,548.79,3494585.55
2023-02-23,BTC,548.76,549.78,538.15,540.78,89440656.47
2023-02-24,BTC,545.66,545.89,543.06,545.09,19424366.64
2023-02-25,BTC,549.51,557.35,544.8,554.72,12265252.35
2023-02-26,BTC,550.29,555.15,546.65,550.47,45028627.04
2023-02-27,BTC,547.35,549.19,543.72,543.93,55550991.88
2023-02-28,BTC,552.2,559.67,552.09,555.03,65726695.0
2023-03-01,BTC,550.68,556.19,549.21,555.02,17095386.69
2023-03-02,BTC,545.09,547.01,534.07,538.71,32625298.62
2023-03-03,BTC,549.96,554.06,547.16,553.54,37061095.79
2023-03-04,BTC,546.65,550.74,544.78,549.67,39115813.19
2023-03-05,BTC,543.52,543.71,539.4,542.81,46582998.1
2023-03-06,BTC,550.32,563.46,548.79,559.5,1927587.1
2023-03-07,BTC,546.03,556.06,541.18,554.86,48577514.08
2023-03-08,BTC,544.22,545.07,537.43,540.14,30555095.01
2023-03-09,BTC,548.0,552.22,535.49,538.26,57739216.6
2023-03-10,BTC,548.91,550.25,541.28,543.1,64725236.02
2023-03-11,BTC,547.1,551.86,546.2,550.27,25114717.07
2023-03-12,BTC,547.21,552.47,547.15,549.42,65716024.62
2023-03-13,BTC,550.24,553.78,539.01,541.03,97674891.35
2023-03-14,BTC,544.41,547.29,536.73,541.53,10709451.62
2023-03-15,BTC,547.84,550.96,540.75,541.48,42600158.59
2023-03-16,BTC,551.31,562.43,549.21,559.38,48217856.25
2023-03-17,BTC,547.42,556.52,546.57,556.49,21532473.4
2023-03-18,BTC,546.62,556.19,546.4,554.82,94546863.34
2023-03-19,BTC,552.82,557.55,546.23,547.18,77241421.57
2023-03-20,BTC,545.33,549.2,540.5,545.93,95067211.94
2023-03-21,BTC,547.93,551.59,544.05,544.32,39778386.09
2023-03-22,BTC,552.21,555.37,550.35,553.83,53958516.21
2023-03-23,BTC,551.19,554.19,546.92,550.01,64300351.76
2023-03-24,BTC,552.72,556.97,544.46,546.55,60458588.3
2023-03-25,BTC,547.79,552.58,547.57,550.2,78123871.11
2023-03-26,BTC,547.1,550.98,542.37,549.86,37150472.34
2023-03-27,BTC,552.65,565.38,547.99,561.96,74030133.84
2023-03-28,BTC,550.35,553.43,543.69,546.82,83587555.39
2023-03-29,BTC,553.22,553.59,545.98,548.47,5530590.77
2023-03-30,BTC,545.83,545.83,537.52,540.31,57111256.04
2023-03-31,BTC,549.4,557.33,545.85,552.36,18803041.46
2023-04-01,BTC,551.48,558.0,551.13,553.29,28073926.01
2023-04-02,BTC,548.61,553.81,546.22,549.59,82547503.58
2023-04-03,BTC,548.67,549.51,546.99,548.52,1132729.2
2023-04-04,BTC,551.01,551.94,547.37,550.39,28532488.57
2023-04-05,BTC,544.12,547.81,532.61,536.82,64764023.89
2023-04-06,BTC,544.16,547.6,539.5,542.69,65448665.04
2023-04-07,BTC,548.47,552.14,545.38,549.23,65815858.9
2023-04-08,BTC,552.73,553.77,548.31,552.8,59726232.58
2023-04-09,BTC,545.22,551.82,544.44,551.39,39386459.88
2023-04-10,BTC,543.65,554.31,539.29,550.9,83356528.18
2023-04-11,BTC,552.44,559.43,551.11,554.61,48980238.92
2023-04-12,BTC,552.38,556.38,545.17,549.36,31320190.44
2023-04-13,BTC,545.79,553.5,544.54,553.0,69817310.39
2023-04-14,BTC,545.38,547.82,540.18,544.92,2426853.88
2023-04-15,BTC,544.67,550.8,541.06,548.09,30160703.24
2023-04-16,BTC,550.27,553.01,546.6,550.61,19206001.01
2023-04-17,BTC,551.38,554.02,548.43,549.06,6455763.3
2023-04-18,BTC,546.63,548.57,538.16,539.08,74983073.75
2023-04-19,BTC,548.84,551.11,544.21,549.84,73335526.96
2023-04-20,BTC,545.14,559.35,541.91,554.36,83674744.58
2023-04-21,BTC,547.14,556.41,546.37,553.46,58769211.35
2023-04-22,BTC,545.15,546.16,539.02,542.28,22778783.48
2023-04-23,BTC,553.19,565.3,552.04,562.99,12620776.99
2023-04-24,BTC,549.72,553.52,547.97,549.29,98240075.63
2023-04-25,BTC,553.12,556.48,546.61,551.6,29167886.91
2023-04-26,BTC,550.25,552.19,543.39,548.37,12579585.51
2023-04-27,BTC,548.7,551.0,535.86,539.07,10001710.09
2023-04-28,BTC,550.91,552.58,543.56,545.69,8711712.25
2023-04-29,BTC,547.89,550.26,541.44,544.61,32708485.37
2023-04-30,BTC,546.79,551.71,537.56,540.4,12925380.08
2023-05-01,BTC,546.07,548.42,537.2,539.8,56099534.23
2023-05-02,BTC,545.46,559.77,544.01,554.99,60666399.12
2023-05-03,BTC,544.35,546.74,532.65,536.03,43610266.81
2023-05-04,BTC,550.33,550.73,546.43,546.6,92344937.28
2023-05-05,BTC,551.11,562.15,548.14,560.72,39734843.79
2023-05-06,BTC,544.44,546.56,543.7,545.51,76570749.67
2023-05-07,BTC,552.41,562.39,547.42,559.08,68150868.16
2023-05-08,BTC,543.83,549.52,540.14,545.06,44687607.97
2023-05-09,BTC,546.9,557.46,543.74,556.12,77531857.72
2023-05-10,BTC,547.83,551.45,538.69,542.39,53958136.01
2023-05-11,BTC,550.24,551.15,538.32,542.12,36534849.66
2023-05-12,BTC,545.01,557.96,544.74,553.56,29500095.38
2023-05-13,BTC,551.74,553.04,538.8,543.06,59268807.63
2023-05-14,BTC,545.66,554.17,545.65,552.36,85498527.2
2023-05-15,BTC,550.2,554.74,547.1,551.38,74765560.05
2023-05-16,BTC,549.74,560.84,545.47,558.65,95697475.77
2023-05-17,BTC,545.42,556.94,543.22,553.92,76638499.83
2023-05-18,BTC,552.28,558.94,552.03,556.85,11401230.38
2023-05-19,BTC,551.62,553.23,545.19,546.39,45111079.74
2023-05-20,BTC,552.36,554.5,545.97,548.17,22390441.37
2023-05-21,BTC,543.3,546.82,536.92,541.82,5530804.18
2023-05-22,BTC,547.54,548.03,540.6,544.76,48895561.44
2023-05-23,BTC,550.45,555.37,548.05,548.35,56288492.73
2023-05-24,BTC,546.18,553.74,543.15,551.51,61804892.87
2023-05-25,BTC,551.62,561.75,549.09,557.22,73647643.21
2023-05-26,BTC,543.54,544.74,532.79,535.9,24079281.11
2023-05-27,BTC,551.52,553.45,540.73,542.19,24237466.5
2023-05-28,BTC,551.84,558.03,547.52,553.31,59434684.3
2023-05-29,BTC,548.58,554.77,544.88,552.67,44753543.24
2023-05-30,BTC,548.59,549.36,541.5,543.53,5922761.97
2023-05-31,BTC,546.36,556.48,543.12,554.77,70585256.59
2023-06-01,BTC,546.99,551.67,540.13,543.24,22376675.68
2023-06-02,BTC,548.86,555.94,546.82,553.29,72732668.62
2023-06-03,BTC,551.4,553.57,546.46,553.02,2527870.35
2023-06-04,BTC,545.27,549.13,538.02,538.86,67012995.96
2023-06-05,BTC,551.49,557.22,546.99,556.87,2480420.6
2023-06-06,BTC,552.21,555.86,545.16,548.13,62862165.44
2023-06-07,BTC,549.33,552.56,540.84,544.26,50900381.97
2023-06-08,BTC,544.49,556.75,541.95,553.94,39562708.6
2023-06-09,BTC,548.67,549.43,535.13,538.78,27830833.18
2023-06-10,BTC,552.05,555.91,549.08,550.13,87877329.8
2023-06-11,BTC,549.86,552.18,542.76,544.27,25028044.65
2023-06-12,BTC,548.09,549.26,546.26,548.56,21501357.2
2023-06-13,BTC,548.9,561.81,544.23,557.75,68539762.73
2023-06-14,BTC,548.78,556.15,548.37,554.03,13400315.95
2023-06-15,BTC,550.86,552.47,544.73,546.86,87456766.61
2023-06-16,BTC,551.99,555.81,548.71,553.41,97777765.97
2023-06-17,BTC,550.3,552.77,538.11,542.49,61929870.42
2023-06-18,BTC,550.23,560.06,549.82,558.65,64896333.84
2023-06-19,BTC,552.35,555.25,548.78,551.59,53390171.71
2023-06-20,BTC,544.94,554.97,540.96,550.09,21590900.26
2023-06-21,BTC,551.82,555.63,542.64,544.41,52525313.73
2023-06-22,BTC,544.93,547.81,535.98,536.34,36275189.29
2023-06-23,BTC,548.84,557.52,544.9,553.83,19585728.03
2023-06-24,BTC,545.64,547.68,538.9,541.54,83629489.11
2023-06-25,BTC,548.28,549.34,541.53,541.88,64345710.75
2023-06-26,BTC,547.68,557.96,546.96,555.7,61842372.19
2023-06-27,BTC,543.34,544.34,535.27,539.47,88427503.48
2023-06-28,BTC,544.4,551.95,539.69,551.73,16247623.46
2023-06-29,BTC,544.42,551.34,541.19,551.04,8188616.7
2023-06-30,BTC,549.83,557.58,546.28,552.73,42561288.93
2023-07-01,BTC,553.19,559.75,550.62,555.01,62368551.27
2023-07-02,BTC,552.13,557.0,547.84,551.77,80162483.21
2023-07-03,BTC,550.24,550.96,542.46,543.23,26507689.68
2023-07-04,BTC,551.87,559.68,548.41,556.45,59419964.49
2023-07-05,BTC,546.1,549.99,542.22,544.25,21838557.58
2023-07-06,BTC,545.99,553.03,542.96,551.89,87689680.38
2023-07-07,BTC,550.4,554.11,548.98,551.91,61189209.74
2023-07-08,BTC,548.96,553.19,544.89,549.94,89407070.75
2023-07-09,BTC,551.66,561.84,549.76,559.92,46717391.63
2023-07-10,BTC,543.39,546.72,535.03,539.85,10388699.95
2023-07-11,BTC,550.31,562.37,547.62,559.08,13224028.94
2023-07-12,BTC,548.26,548.48,541.44,542.89,50293859.8
2023-07-13,BTC,548.13,550.65,539.87,541.22,25437009.24
2023-07-14,BTC,548.63,549.4,538.3,538.79,6257681.72
2023-07-15,BTC,549.71,561.52,544.82,557.99,87818212.86
2023-07-16,BTC,549.92,555.9,546.34,550.93,32681663.23
2023-07-17,BTC,548.47,550.39,543.53,548.98,36878990.82
2023-07-18,BTC,543.5,555.94,540.5,551.01,67231463.08
2023-07-19,BTC,546.24,548.59,538.34,539.05,60441834.86
2023-07-20,BTC,549.05,553.48,546.52,552.11,22956665.91
2023-07-21,BTC,546.15,549.18,536.41,541.32,49750241.33
2023-07-22,BTC,549.78,554.73,535.02,540.0,56937851.64
2023-07-23,BTC,549.71,556.21,548.22,552.4,48738015.04
2023-07-24,BTC,544.55,548.83,534.63,536.73,61770919.2
2023-07-25,BTC,550.32,559.96,547.95,556.83,11886043.2
2023-07-26,BTC,547.48,552.29,542.33,544.86,16434004.97
2023-07-27,BTC,546.55,553.08,544.17,551.75,64476014.64
2023-07-28,BTC,548.67,557.95,545.06,553.19,33050330.67
2023-07-29,BTC,552.51,557.06,540.6,545.42,10450386.75
2023-07-30,BTC,550.66,560.51,549.48,560.24,43951867.28
2023-07-31,BTC,548.94,553.72,548.57,549.34,84680408.41
2023-08-01,BTC,545.12,549.12,542.34,547.76,92598834.52
2023-08-02,BTC,552.11,553.55,539.76,544.39,45068160.0
2023-08-03,BTC,546.23,556.35,541.82,552.16,4531543.61
2023-08-04,BTC,548.05,553.96,544.81,549.46,5128922.84
2023-08-05,BTC,552.73,553.24,543.4,548.22,75423312.7
2023-08-06,BTC,543.8,555.34,540.03,551.62,68833696.48
2023-08-07,BTC,549.32,556.3,548.87,552.92,70955961.28
2023-08-08,BTC,548.68,557.95,546.85,556.36,3288940.74
2023-08-09,BTC,546.89,557.58,545.21,556.88,19194627.78
2023-08-10,BTC,546.3,550.64,544.77,546.17,3905930.9
2023-08-11,BTC,547.93,557.51,544.85,556.05,76066261.09
2023-08-12,BTC,543.76,548.15,541.73,545.5,63738690.68
2023-08-13,BTC,546.46,556.17,543.59,554.27,32023363.38
2023-08-14,BTC,544.97,546.29,536.27,537.03,94040133.92
2023-08-15,BTC,548.36,553.08,541.28,544.44,75048509.95
2023-08-16,BTC,551.55,552.59,540.64,542.58,29539757.36
2023-08-17,BTC,549.23,553.67,539.5,543.54,65534187.38
2023-08-18,BTC,550.53,557.39,547.57,555.37,85175563.82
2023-08-19,BTC,552.74,552.93,544.64,548.34,86497081.0
2023-08-20,BTC,547.05,549.44,536.48,539.35,4280063.9
2023-08-21,BTC,549.32,552.55,540.43,543.99,92274465.07
2023-08-22,BTC,546.01,549.0,539.6,539.98,69638763.0
2023-08-23,BTC,550.35,552.09,540.64,544.1,67617413.07
2023-08-24,BTC,549.0,555.44,546.6,550.67,15407023.63
2023-08-25,BTC,544.61,550.55,544.19,546.1,75940940.24
2023-08-26,BTC,547.63,547.85,541.13,545.65,34198251.17
2023-08-27,BTC,545.46,549.8,535.17,535.66,94392703.71
2023-08-28,BTC,543.68,545.14,531.51,535.25,78843326.91
2023-08-29,BTC,552.95,553.41,548.22,553.12,5981580.3
2023-08-30,BTC,548.91,555.28,547.98,555.25,64971623.91
2023-08-31,BTC,552.83,555.94,547.92,555.05,69877882.91
2023-09-01,BTC,550.45,554.56,541.11,543.79,72886724.97
2023-09-02,BTC,544.77,555.04,542.29,554.59,20188496.5
2023-09-03,BTC,546.95,552.04,543.98,550.25,15383872.19
2023-09-04,BTC,553.03,556.47,539.44,544.17,21209871.43
2023-09-05,BTC,548.68,553.22,542.93,547.5,54354109.61
2023-09-06,BTC,548.62,553.03,545.93,549.56,18718550.11
2023-09-07,BTC,543.45,546.96,538.65,540.24,99631667.3
2023-09-08,BTC,546.21,554.78,542.42,550.11,43701427.14
2023-09-09,BTC,551.47,552.72,546.87,549.38,25714702.54
2023-09-10,BTC,546.24,557.38,541.48,552.81,85585744.44
2023-09-11,BTC,546.39,549.25,536.12,540.95,22862913.44
2023-09-12,BTC,547.06,550.21,543.51,545.92,16723919.53
2023-09-13,BTC,552.5,553.14,540.8,544.22,90999208.81
2023-09-14,BTC,549.97,552.6,535.88,540.2,80574151.29
2023-09-15,BTC,548.38,551.76,536.79,541.14,73280519.64
2023-09-16,BTC,549.52,557.98,544.58,557.85,55771583.73
2023-09-17,BTC,546.16,557.51,543.71,556.12,29090927.48
2023-09-18,BTC,543.46,544.3,541.48,543.39,4467308.32
2023-09-19,BTC,548.65,552.73,534.92,539.25,27968940.1
2023-09-20,BTC,551.47,559.26,547.03,555.03,86480664.9
2023-09-21,BTC,552.97,554.51,544.7,545.05,79337208.05
2023-09-22,BTC,544.1,544.38,537.3,540.84,81770765.43
2023-09-23,BTC,550.93,560.39,547.53,559.45,85195982.86
2023-09-24,BTC,544.53,547.13,535.95,539.27,11551354.26
2023-09-25,BTC,543.72,550.69,539.98,549.44,18768215.98
2023-09-26,BTC,549.17,557.75,549.14,556.23,14442607.38
2023-09-27,BTC,545.87,547.91,542.62,544.7,18215983.07
2023-09-28,BTC,547.3,551.27,540.67,541.83,39760414.1
2023-09-29,BTC,544.87,550.91,543.59,547.61,15009568.51
2023-09-30,BTC,553.01,557.01,542.18,545.77,37520922.77
2023-10-01,BTC,547.41,550.33,546.54,549.5,90912209.32
2023-10-02,BTC,545.97,549.81,543.88,546.13,66287962.99
2023-10-03,BTC,548.82,550.7,540.0,541.48,93340170.46
2023-10-04,BTC,547.0,550.9,544.62,546.6,47704622.07
2023-10-05,BTC,545.47,555.4,542.59,550.86,20932524.24
2023-10-06,BTC,546.43,560.22,542.95,555.3,98584483.24
2023-10-07,BTC,544.59,546.75,541.93,545.71,18991635.25
2023-10-08,BTC,552.4,565.07,551.04,561.92,87846467.56
2023-10-09,BTC,548.42,556.05,547.32,552.29,3962418.39
2023-10-10,BTC,550.92,551.66,540.6,545.31,39281494.62
2023-10-11,BTC,552.31,556.53,545.86,546.09,90656810.24
2023-10-12,BTC,545.09,551.47,540.66,548.84,48129403.48
2023-10-13,BTC,553.21,553.56,543.56,548.02,70946513.49
2023-10-14,BTC,544.89,548.25,540.27,545.45,42988697.24
2023-10-15,BTC,551.96,556.75,546.41,550.18,68376997.33
2023-10-16,BTC,552.91,562.0,551.2,558.13,73105287.5
2023-10-17,BTC,543.9,547.18,535.94,540.02,25552751.69
2023-10-18,BTC,547.25,550.19,540.06,542.41,18839048.78
2023-10-19,BTC,549.82,551.73,538.83,542.45,15274785.67
2023-10-20,BTC,543.33,549.87,539.46,549.47,14592036.16
2023-10-21,BTC,548.09,554.05,547.86,550.85,22606993.58
2023-10-22,BTC,552.48,558.72,547.6,556.06,53798332.1
2023-10-23,BTC,548.88,554.26,544.5,550.77,25484085.37
2023-10-24,BTC,543.39,544.12,538.3,542.39,63937479.93
2023-10-25,BTC,547.18,551.69,542.63,549.58,92134263.44
2023-10-26,BTC,552.94,557.25,540.98,544.54,51389274.08
2023-10-27,BTC,547.06,548.97,538.13,539.5,1604378.32
2023-10-28,BTC,546.78,556.02,541.8,552.1,79247156.92
2023-10-29,BTC,548.63,555.65,545.66,554.08,93711992.4
2023-10-30,BTC,548.05,549.66,539.35,539.59,59262063.68
2023-10-31,BTC,548.47,554.75,546.07,551.25,30133170.21
2023-11-01,BTC,544.63,551.44,541.9,548.4,42948991.36
2023-11-02,BTC,547.8,554.22,546.98,552.01,89201349.0
2023-11-03,BTC,547.4,547.62,534.83,539.37,26833200.55
2023-11-04,BTC,550.57,550.57,548.07,549.7,74204905.35
2023-11-05,BTC,547.33,560.1,546.12,557.13,4269417.17
2023-11-06,BTC,552.75,558.05,552.41,554.19,35315086.76
2023-11-07,BTC,553.02,554.66,547.57,548.91,20092326.34
2023-11-08,BTC,547.67,549.6,535.8,540.31,46633812.73
2023-11-09,BTC,551.57,553.03,548.81,549.67,68116777.7
2023-11-10,BTC,552.33,555.46,543.86,545.99,39538839.82
2023-11-11,BTC,546.83,547.97,536.47,537.78,93611028.6
2023-11-12,BTC,552.71,552.86,548.21,552.45,68930453.67
2023-11-13,BTC,552.52,553.54,538.27,543.23,32468280.19
2023-11-14,BTC,543.86,545.02,532.25,536.87,24028923.16
2023-11-15,BTC,545.2,551.7,544.49,547.12,66131259.02
2023-11-16,BTC,546.46,549.19,539.1,541.37,91667926.32
2023-11-17,BTC,549.97,552.35,544.65,547.45,34550483.82
2023-11-18,BTC,545.44,549.85,544.45,547.63,79612450.66
2023-11-19,BTC,549.69,554.46,540.55,542.73,79213711.83
2023-11-20,BTC,544.29,552.33,543.43,550.62,24155486.4
2023-11-21,BTC,546.51,550.94,537.19,538.98,37696926.34
2023-11-22,BTC,551.61,555.98,548.78,552.22,30759355.91
2023-11-23,BTC,550.29,550.3,547.83,548.32,97063642.96
2023-11-24,BTC,547.65,552.63,542.6,543.79,97255090.47
2023-11-25,BTC,543.86,554.93,542.04,550.99,69146751.96
2023-11-26,BTC,546.78,549.06,543.01,543.7,43463275.2
2023-11-27,BTC,546.33,549.58,536.36,538.15,42885975.38
2023-11-28,BTC,545.52,547.37,540.73,545.68,49137266.37
2023-11-29,BTC,552.11,556.5,543.55,548.43,41925918.63
2023-11-30,BTC,552.73,555.32,547.16,548.89,99972174.06
2023-12-01,BTC,549.26,551.67,542.78,545.83,39083617.06
2023-12-02,BTC,548.17,552.35,535.18,538.95,58702341.47
2023-12-03,BTC,551.7,562.19,547.63,561.42,2673301.93
2023-12-04,BTC,552.97,557.05,549.92,553.97,59829326.7
2023-12-05,BTC,552.03,555.41,540.95,542.61,58257723.71
2023-12-06,BTC,544.8,547.72,534.13,537.6,50120730.14
2023-12-07,BTC,544.63,557.33,542.82,554.22,10937960.81
2023-12-08,BTC,545.5,546.2,540.38,542.55,5604933.09
2023-12-09,BTC,545.99,555.27,543.15,554.55,28143866.03
2023-12-10,BTC,548.9,560.82,547.59,558.2,93928792.27
2023-12-11,BTC,550.57,561.14,546.77,559.67,4408781.28
2023-12-12,BTC,548.16,550.94,539.07,539.49,50747240.03
2023-12-13,BTC,552.2,555.37,542.32,544.39,39825621.34
2023-12-14,BTC,548.52,560.91,547.08,557.47,28950466.72
2023-12-15,BTC,550.27,552.15,537.43,541.41,42923588.4
2023-12-16,BTC,545.96,548.82,533.41,538.08,81451857.98
2023-12-17,BTC,552.96,556.89,552.24,556.46,75378837.47
2023-12-18,BTC,551.13,552.88,545.48,549.68,23101043.39
2023-12-19,BTC,549.8,553.54,548.75,548.9,76837047.9
2023-12-20,BTC,551.79,560.39,550.83,558.4,82686808.72
2023-12-21,BTC,552.59,555.85,548.32,551.76,86856492.09
2023-12-22,BTC,547.59,548.41,536.63,540.79,35529163.76
2023-12-23,BTC,546.93,550.47,546.85,549.97,65158441.21
2023-12-24,BTC,545.28,547.56,532.94,536.97,23875598.44
2023-12-25,BTC,550.96,559.79,548.66,556.05,25884885.52
2023-12-26,BTC,545.75,551.37,541.06,549.15,14202552.12
2023-12-27,BTC,550.33,552.62,544.39,546.61,75741564.91
2023-12-28,BTC,552.17,554.27,547.61,553.31,72683532.59
2023-12-29,BTC,545.19,558.19,541.0,553.92,25771135.38
2023-12-30,BTC,553.03,554.54,546.89,551.8,56099008.46
2023-12-31,BTC,544.24,556.57,540.44,552.07,70493516.0
2024-01-01,BTC,549.5,550.61,538.28,543.22,86179373.33
2024-01-02,BTC,550.63,557.57,549.17,553.01,6374183.11
2024-01-03,BTC,550.12,557.38,547.37,556.57,76644446.08
2024-01-04,BTC,546.06,549.34,540.6,545.34,73892202.73
2024-01-05,BTC,547.91,552.6,541.81,546.61,88010619.67
2024-01-06,BTC,549.9,560.13,547.74,559.84,44332100.56
2024-01-07,BTC,550.38,553.46,546.97,549.57,86035593.36
2024-01-08,BTC,543.69,546.6,538.14,540.62,82574250.18
2024-01-09,BTC,543.71,546.42,541.6,543.23,50443802.69
2024-01-10,BTC,552.31,554.79,544.6,548.13,88696692.43
2024-01-11,BTC,543.57,546.29,530.83,535.72,84420955.63
2024-01-12,BTC,544.92,548.81,533.56,538.0,90385825.68
2024-01-13,BTC,547.51,547.94,536.7,540.77,29488029.99
2024-01-14,BTC,552.75,555.02,540.05,543.23,13516995.27
2024-01-15,BTC,549.75,550.4,542.44,546.15,85338426.0
2024-01-16,BTC,548.99,550.28,540.78,541.7,25716404.2
2024-01-17,BTC,552.97,555.19,551.23,554.93,9267724.07
2024-01-18,BTC,543.93,546.36,538.66,542.09,94794163.27
2024-01-19,BTC,545.17,545.2,534.27,536.04,2792937.42
2024-01-20,BTC,549.74,554.41,542.0,544.3,28427496.05
2024-01-21,BTC,548.26,559.65,545.5,554.71,56386574.35
2024-01-22,BTC,551.14,558.74,547.34,556.6,46557168.93
2024-01-23,BTC,551.0,560.16,548.7,556.15,10259771.5
2024-01-24,BTC,551.08,554.66,546.29,549.18,88795118.47
2024-01-25,BTC,547.11,554.42,543.61,550.38,13053463.82
2024-01-26,BTC,552.97,556.12,551.6,553.76,45960463.36
2024-01-27,BTC,552.37,559.96,550.33,557.36,53775786.45
2024-01-28,BTC,552.92,556.3,541.51,544.56,1166910.96
2024-01-29,BTC,551.0,552.67,549.28,551.43,59766123.62
2024-01-30,BTC,543.62,546.83,538.16,541.88,31225791.28
2024-01-31,BTC,547.89,549.88,547.28,547.77,65493325.22
2024-02-01,BTC,553.21,563.31,550.47,561.92,88929460.84
2024-02-02,BTC,547.66,551.08,540.06,541.83,30286929.14
2024-02-03,BTC,547.63,550.2,540.07,544.77,33609274.87
2024-02-04,BTC,549.99,554.66,548.75,550.18,96316467.09
2024-02-05,BTC,552.3,554.01,546.33,547.24,27370763.09
2024-02-06,BTC,544.91,554.37,541.06,550.35,41167991.21
2024-02-07,BTC,548.78,553.49,537.64,540.02,2956819.42
2024-02-08,BTC,550.2,553.87,545.97,546.58,40039103.01
2024-02-09,BTC,544.79,555.1,542.01,550.54,17648693.61
2024-02-10,BTC,552.74,559.76,548.8,556.67,8921093.37
2024-02-11,BTC,552.57,562.42,551.86,560.21,71331879.2
2024-02-12,BTC,552.77,555.38,545.44,545.71,6367857.61
2024-02-13,BTC,544.97,549.94,540.87,544.65,13574992.89
2024-02-14,BTC,545.3,545.92,539.48,544.08,58744055.55
2024-02-15,BTC,550.11,552.45,548.13,552.44,19480672.36
2024-02-16,BTC,545.92,551.41,543.39,549.53,55060932.83
2024-02-17,BTC,547.42,553.42,544.4,549.77,29656116.11
2024-02-18,BTC,546.74,558.38,544.47,555.58,52664526.27
2024-02-19,BTC,550.39,560.39,548.7,556.78,87804147.99
2024-02-20,BTC,548.0,550.96,541.92,545.13,70337514.59
2024-02-21,BTC,548.15,548.99,544.16,545.41,5815639.37
2024-02-22,BTC,549.11,554.11,544.62,552.64,10324042.33
2024-02-23,BTC,543.44,556.47,539.92,551.74,55628257.75
2024-02-24,BTC,549.72,562.86,546.85,558.93,59851690.64
2024-02-25,BTC,543.26,545.0,535.73,537.89,97302258.07
2024-02-26,BTC,544.54,546.59,542.12,542.44,59645120.57
2024-02-27,BTC,552.09,558.4,548.9,555.35,32936160.7
